tick,ctrlMel.r_roll,ctrlMel.r_pitch,ctrlMel.r_yaw,ctrlMel.cmd_thrust,ctrlMel.cmd_roll,ctrlMel.cmd_pitch,ctrlMel.cmd_yaw,ctrlMel.accelz
54602,2.5641348361969,-0.01693588681519,0.10676071792841,44227,-10671,-3448,2194,0.938061952590942
54604,2.63620233535767,-0.013446711935103,0.109986290335655,44227,-13383,-2639,2246,0.943181753158569
54606,2.6872022151947,-0.015051626600325,0.111846931278706,44227,-12297,-2097,2269,0.955286026000977
54608,2.71909880638123,-0.023838549852371,0.113689579069614,44227,-12435,-1200,2303,0.970388233661652
54610,2.73780608177185,-0.009291528724134,0.111562065780163,44227,-11490,-3824,2277,0.978061199188232
54612,2.75147485733032,0.020988197997213,0.111261017620564,44227,-12688,-6017,2291,0.98184609413147
54614,2.75055313110352,0.032565858215094,0.112639777362347,44227,-11210,-4379,2307,0.985001027584076
54616,2.74360656738281,0.026212168857455,0.111348308622837,44227,-11897,-2477,2310,0.988518357276917
54618,2.73328971862793,0.023893404752016,0.108902797102928,44227,-11354,-2834,2281,0.993047416210175
54620,2.71422410011291,0.045169770717621,0.103555783629417,44227,-11515,-5650,2238,0.997593760490418
54622,2.68861818313599,0.067532949149609,0.100837454199791,44227,-10349,-6206,2206,1.0031361579895
54624,2.64322352409363,0.060631293803454,0.103126592934132,44227,-8841,-3180,2257,1.0059814453125
